# Station Soma
# Location (Grid) 74,696
time,height,momentumX,momentumY
747.842,19.7774,1.19204,-0.276628
749.261,19.7768,1.19326,-0.276963
750.68,19.7761,1.19449,-0.277299
752.099,19.7754,1.19571,-0.277634
753.518,19.7747,1.19694,-0.277969
754.937,19.7741,1.19816,-0.278305
756.356,19.7734,1.19939,-0.27864
757.775,19.7727,1.20061,-0.278975
759.195,19.772,1.20183,-0.27931
760.614,19.7713,1.20305,-0.279645
762.033,19.7707,1.20427,-0.27998
763.452,19.77,1.2055,-0.280316
764.871,19.7693,1.20672,-0.280652
766.29,19.7686,1.20794,-0.280987
767.709,19.7679,1.20916,-0.281323
769.128,19.7673,1.21038,-0.281659
770.547,19.7666,1.2116,-0.281994
771.966,19.7659,1.21281,-0.28233
773.385,19.7652,1.21403,-0.282666
774.804,19.7645,1.21525,-0.283001
776.223,19.7638,1.21647,-0.283337
777.642,19.7631,1.21769,-0.283673
779.061,19.7625,1.21891,-0.28401
780.48,19.7618,1.22012,-0.284347
781.899,19.7611,1.22134,-0.284684
783.318,19.7604,1.22256,-0.285021
784.737,19.7597,1.22378,-0.285358
786.157,19.759,1.22499,-0.285696
787.576,19.7583,1.22621,-0.286033
788.995,19.7576,1.22743,-0.286371
790.414,19.7569,1.22864,-0.286709
791.833,19.7562,1.22986,-0.287047
793.252,19.7555,1.23108,-0.287385
794.671,19.7548,1.23229,-0.287723
796.09,19.7541,1.23351,-0.288061
797.509,19.7535,1.23473,-0.2884
798.928,19.7528,1.23594,-0.288738
800.347,19.7521,1.23716,-0.289077
801.766,19.7514,1.23837,-0.289416
803.185,19.7507,1.23959,-0.289755
804.604,19.75,1.24081,-0.290095
806.023,19.7493,1.24202,-0.290434
807.442,19.7486,1.24324,-0.290774
808.861,19.7479,1.24445,-0.291115
810.28,19.7471,1.24567,-0.291456
811.7,19.7464,1.24689,-0.291797
813.119,19.7457,1.2481,-0.292138
814.538,19.745,1.24932,-0.29248
815.957,19.7443,1.25053,-0.292821
817.376,19.7436,1.25175,-0.293164
818.795,19.7429,1.25297,-0.293506
820.214,19.7422,1.25418,-0.293849
821.633,19.7415,1.2554,-0.294192
823.052,19.7408,1.25662,-0.294536
824.471,19.7401,1.25783,-0.29488
825.89,19.7394,1.25905,-0.295224
827.309,19.7387,1.26027,-0.295568
